NOC,Year,Score_2028,Score_2024,Unique_Names,Innovation_Coeff,Team_Avg
ISR,2028,70.61280818,129.9794090617866,89,0.5342242747632607,1.4604427984470405
ISV,2028,-0.571929982,1.985,5,0.5804924736842536,0.397
ITA,2028,733.9112765,986.7521275885692,397,0.37665066180485496,2.4855217319611316
IVB,2028,0.34850629,1.565,4,0.5815841816820558,0.39125
JAM,2028,263.4118441,90.2089093348284,65,0.7236387418397957,1.3878293743819754
JOR,2028,9.278681039,10.50472972972973,12,0.5815763997015923,0.8753941441441442
JPN,2028,1057.006175,1064.6001588514212,430,0.5763900839552716,2.475814322910282
KAZ,2028,81.1713494,89.11756709384919,79,0.5761032098151817,1.1280704695423949
KEN,2028,110.6655351,106.49600556645709,74,0.5859707868300584,1.4391352103575281
KGZ,2028,13.23972683,25.806175307214637,16,0.5723402984383011,1.6128859567009148
KIR,2028,1.198547197,1.145,3,0.5826185567170131,0.38166666666666665
KOR,2028,708.0573935,489.0492113434989,147,0.7609444727894761,3.326865383289108
KOS,2028,18.98355644,15.073740989908698,9,0.5857592646950874,1.6748601099898552
KSA,2028,12.75670642,4.190192222978656,8,0.58955187712402,0.523774027872332
KUW,2028,10.67221485,3.521176855181432,9,0.5883990534330154,0.3912418727979369
LAO,2028,0.45948106,1.5750000000000002,4,0.5816664198057832,0.39375000000000004
LAT,2028,47.21471917,19.021868843878792,29,0.6055363954239644,0.6559265118578894
LBA,2028,1.240359137,2.285,6,0.5817241459096988,0.38083333333333336
LBN,2028,10.02112815,4.24,9,0.587283340910834,0.47111111111111115
LBR,2028,1.588586651,4.015000000000001,8,0.5805987719507723,0.5018750000000001
LCA,2028,8.806564418,16.39076889191462,4,0.5763980486939618,4.097692222978655
LES,2028,1.861931587,1.15,3,0.5831547728126271,0.3833333333333333
LIE,2028,1.748538233,0.38,1,0.5836895410383323,0.38
LTU,2028,74.28761441,43.26820942875902,51,0.607838461092939,0.8483962633090004
LUX,2028,-15.53265551,5.130640743262184,13,0.5657458831283442,0.3946646725586295
MAD,2028,3.106354871,2.68,7,0.5829221870557688,0.3828571428571429
MAR,2028,46.5325625,67.90241874901815,61,0.5651704307816668,1.1131544057216092
MAS,2028,37.94664001,23.807694374444168,26,0.5940903009907331,0.9156805528632372
MAW,2028,-0.683286956,1.23,3,0.5810166837894946,0.41
MDA,2028,5.022752427,22.115615775434176,26,0.5686537947085055,0.8506006067474683
MDV,2028,0.971980755,1.955,5,0.5817743331618743,0.391
MEX,2028,136.5169603,96.32148051548728,108,0.6153118445431023,0.8918655603285859
MGL,2028,29.242105,24.584122520605938,32,0.5863686035697832,0.7682538287689356
MHL,2028,1.114957845,1.57,4,0.5822043400363893,0.3925
MKD,2028,0.749378117,2.292171153858639,6,0.581318429708426,0.38202852564310646
MLI,2028,5.638871906,9.17,24,0.5796990455351277,0.38208333333333333
MLT,2028,2.961859719,1.99,5,0.5833664692777897,0.398
MNE,2028,7.87682903,7.515000000000001,19,0.5828696344815391,0.3955263157894737
MON,2028,1.772835381,2.415,6,0.5820519395867861,0.4025
MOZ,2028,0.581108906,2.72020824156021,7,0.5808327726361499,0.3886011773657443
MRI,2028,4.346115923,4.665,12,0.5823152329343383,0.38875
MTN,2028,0.467044595,0.765,2,0.5823322781300578,0.3825
MYA,2028,1.1852917,0.805,2,0.5828846712609226,0.4025
NAM,2028,-2.005109236,1.5304805574466382,4,0.579695411738377,0.38262013936165956
NCA,2028,1.915100661,2.81,7,0.5818461017406239,0.4014285714285714
NED,2028,737.0916889,964.9666304458084,288,0.3969839545466074,3.350578577936835
NEP,2028,2.641444158,2.72,7,0.5825109664143461,0.3885714285714286
NGR,2028,93.13535244,43.10157901486388,86,0.6233245670249925,0.5011811513356265
NIG,2028,2.924793751,2.714054054054054,7,0.5827465809379105,0.3877220077220077
NOR,2028,84.98015168,208.8236564695382,109,0.4817115569713186,1.915813362105855
NRU,2028,0.42325611,0.38,1,0.582610175220467,0.38
NZL,2028,410.6004871,509.3602577089917,208,0.50214081108184,2.448847392831691
